listings/id,listings/pix_cache_id,listings/listing_id,listings/class_id,listings/status_id,listings/list_price,listings/sold_price,listings/close_dt,listings/list_dt,listings/sold_dt,listings/status_dt,listings/update_dt,listings/apartment,listings/civicnum,listings/street,listings/tla,listings/mla,listings/pix_count,listings/st_type,listings/city,listings/address,listings/pid,listings/pid2,listings/pid3,listings/pid4,listings/parcel_class_id,listings/idx_optin,listings/nbeds,listings/nfullbaths,listings/nhalfbaths,listings/is_vp,listings/is_vp_sold,listings/listing_b1,listings/listing_b2,listings/oh,listings/has_energy,listings/is_following,properties/id,properties/class_id,properties/apartment,properties/area,properties/area_unit,properties/assessment,properties/city,properties/civicchar,properties/civicnum,properties/lat,properties/lng,properties/parcel_type,properties/pid,properties/polygons/0/points,properties/polygons/0/levels,properties/polygons/0/num_points,properties/polygons/0/zoom_factor,properties/ppid,properties/shape_pid,properties/st_type,properties/street,properties/history,properties/has_energy,properties/is_following
11370164,d728b01f,202114028,1,2,379800,440000,2021-08-25 0:00,2021-06-03 0:00,2021-06-15 0:00,2021-06-15 0:00,2021-08-18 11:25,,187,Hillsboro,1892,1171,31,Drive,Dartmouth,187 Hillsboro Drive,652511,,,,1,t,4,2,0,0,0,Royal LePage Atlantic (Enfield),,,FALSE,FALSE,339117,1,,3354,sqft,182800,Cole Harbour,,25,44.68283372,-63.49471501,standard,40146250,iffftAfukbxBdDD[zY}CGRyY,,,6,,40146250,Court,Tamerlane,t,FALSE,FALSE
11370501,410c52b1,202114424,1,2,359900,395555,2021-07-30 0:00,2021-06-09 0:00,2021-06-22 0:00,2021-06-23 0:00,2021-06-24 12:09,,25,Barry Allen,2178,1188,30,Drive,Dartmouth,25 Barry Allen Drive,387555,,,,1,t,4,3,0,0,0,Engel & Volkers,Engel & Volkers,,FALSE,FALSE,339157,1,,2000,sqft,231700,Cole Harbour,,214,44.68668763,-63.4949933,standard,40146656,svmftAl_mbxBOmUvBKPnUyBH,,,6,,40146656,Drive,Flying Cloud,t,FALSE,FALSE
11370628,ab280a54,202114566,1,2,299900,400000,2021-08-05 0:00,2021-06-10 0:00,2021-06-24 0:00,2021-06-25 0:00,2021-07-14 9:02,,20,Grimes,1590,960,31,Avenue,Dartmouth,20 Grimes Avenue,196725,,,,1,t,3,1,1,0,0,RE/MAX NOVA - 15867,RE/MAX NOVA - 15867,,FALSE,FALSE,339169,1,,6000,sqft,200700,Cole Harbour,,185,44.68595748,-63.49404935,standard,40146771,golftAlpjbxBtHeDbEnUwHbDaEmU,,,6,,40146771,Drive,Flying Cloud,t,FALSE,FALSE
11370742,500e555d,202114701,1,2,349900,420000,2021-08-24 0:00,2021-06-11 0:00,2021-06-23 0:00,2021-06-23 11:18,2021-06-23 11:18,,98,Collins,1785,1145,20,Grove,Dartmouth,98 Collins Grove,40176935,,,,1,t,3,1,1,0,0,Century 21 trident Realty Ltd.,,,FALSE,FALSE,339172,1,,3000,sqft,183300,Cole Harbour,,177,44.68561721,-63.49387037,standard,40146805,mwkftAxcjbxBvCoA`EnU}CrA{DsU,,,6,,40146805,Drive,Flying Cloud,t,FALSE,FALSE
11370744,356ea836,202114703,1,2,249900,281000,2021-07-14 0:00,2021-06-11 0:00,2021-07-02 0:00,2021-07-02 13:05,2021-07-02 13:05,,38,Silistria,1541,1140,31,Drive,Dartmouth,38 Silistria Drive,40276818,,,,1,t,3,2,0,0,0,Exit Realty Metro,,,FALSE,FALSE,339186,1,,7397,sqft,209700,Cole Harbour,,117,44.683153,-63.49357257,standard,40146946,,,,6,,40146946,Drive,Flying Cloud,t,FALSE,FALSE
11370928,3ebfcbde,202114917,1,2,349900,403000,2021-07-22 0:00,2021-06-14 0:00,2021-06-24 0:00,2021-06-24 0:00,2021-06-24 17:04,,31,Hampton Green,2193,1290,30,,Dartmouth,31 Hampton Green,40307852,,,,1,t,5,2,1,0,0,Royal LePage Atlantic (Dartmouth),,,FALSE,FALSE,339201,1,,6000,sqft,278800,Cole Harbour,,51,44.68064664,-63.49327057,standard,40147092,ycbftAt`ibxBfHiEpFtTiHjEoFwT,,,6,,40147092,Drive,Flying Cloud,t,FALSE,FALSE
11371003,180319a4,202115008,1,2,289900,321888,2021-08-16 0:00,2021-06-14 0:00,2021-06-29 0:00,2021-06-29 14:20,2021-06-29 14:20,406,347,Portland Hills,1278,1278,31,Drive,Dartmouth,406 347 Portland Hills Drive,41248980,41249152,,,1,t,2,2,0,0,0,Exit Realty Metro,Exit Realty Metro,,FALSE,FALSE,339254,1,,14735,sqft,289300,Cole Harbour,,121,44.68439787,-63.49146211,standard,40147621,}diftA|qfbxB}Loo@~BEBdAnLA`Djj@eCd@gAZiAb@,,,6,,40147621,Crescent,Havelock,t,FALSE,FALSE
11371005,145523c2,202115011,1,2,269900,269900,2021-08-04 0:00,2021-06-14 0:00,2021-07-05 0:00,2021-07-13 20:17,2021-07-13 20:17,,28,Booth,1644,1070,30,Street,Dartmouth,28 Booth Street,170407,,,,1,t,4,1,0,0,0,Harbourside Realty Ltd.,Harbourside Realty Ltd.,,FALSE,FALSE,339274,1,,8624,sqft,283200,Cole Harbour,,57,44.68165594,-63.4917396,standard,40147829,w`dftA~xfbxBxAea@rHr@uA~`@wHm@,,,6,,40147829,Crescent,Havelock,t,FALSE,FALSE
11371020,3adc9d75,202115027,1,2,249000,274500,2021-07-16 0:00,2021-06-15 0:00,2021-07-02 0:00,2021-07-05 19:50,2021-07-05 19:50,,214,Flying Cloud,1409,1120,19,Drive,Cole Harbour,214 Flying Cloud Drive,40146656,,,,1,t,3,1,0,0,0,One Percent Realty East Inc.,,,FALSE,FALSE,339275,1,,8587,sqft,285700,Cole Harbour,,53,44.68149446,-63.49176484,standard,40147837,itcftAlxebxBlIv@qAx`@qIq@tA_a@,,,6,,40147837,Crescent,Havelock,t,FALSE,FALSE
11371022,2530386e,202115029,1,2,384900,430250,2021-07-14 0:00,2021-06-15 0:00,2021-06-25 0:00,2021-06-25 12:33,2021-06-25 12:33,,110,Collins,2496,1792,30,Grove,Dartmouth,110 Collins Grove,40176877,,,,1,t,3,2,2,1,0,ViewPoint Realty,,,FALSE,FALSE,339292,1,,6000,sqft,286600,Cole Harbour,,64,44.68220254,-63.49232063,standard,40148009,ybeftAfxgbxB~@{VhIn@aAzVgIo@,,,6,,40148009,Crescent,Havelock,t,FALSE,FALSE
